product_id,week,sku_sold,week_start
713,2020-08-10/2020-08-16,1,2020-08-10
713,2020-08-17/2020-08-23,1,2020-08-17
714,2020-08-03/2020-08-09,3,2020-08-03
715,2020-10-12/2020-10-18,6,2020-10-12
716,2020-11-30/2020-12-06,9,2020-11-30
717,2020-11-30/2020-12-06,8,2020-11-30
718,2018-01-15/2018-01-21,2,2018-01-15
718,2018-04-02/2018-04-08,4,2018-04-02
718,2020-03-09/2020-03-15,2,2020-03-09
719,2018-12-31/2019-01-06,2,2018-12-31
719,2019-01-07/2019-01-13,1,2019-01-07
719,2019-01-21/2019-01-27,1,2019-01-21
719,2019-02-04/2019-02-10,1,2019-02-04
719,2019-02-18/2019-02-24,2,2019-02-18
719,2019-03-11/2019-03-17,1,2019-03-11
719,2019-03-18/2019-03-24,1,2019-03-18
719,2019-03-25/2019-03-31,1,2019-03-25
719,2019-04-01/2019-04-07,1,2019-04-01
719,2019-04-22/2019-04-28,1,2019-04-22
719,2019-05-06/2019-05-12,1,2019-05-06
719,2019-05-20/2019-05-26,1,2019-05-20
719,2019-07-01/2019-07-07,1,2019-07-01
719,2019-07-22/2019-07-28,1,2019-07-22
719,2019-09-02/2019-09-08,1,2019-09-02
719,2019-09-30/2019-10-06,1,2019-09-30
719,2019-10-07/2019-10-13,1,2019-10-07
719,2019-10-21/2019-10-27,1,2019-10-21
719,2019-11-11/2019-11-17,1,2019-11-11
719,2019-12-02/2019-12-08,1,2019-12-02
719,2019-12-30/2020-01-05,1,2019-12-30
719,2020-01-27/2020-02-02,2,2020-01-27
719,2020-02-17/2020-02-23,1,2020-02-17
719,2020-02-24/2020-03-01,1,2020-02-24
719,2020-03-02/2020-03-08,1,2020-03-02
719,2020-03-23/2020-03-29,1,2020-03-23
719,2020-04-27/2020-05-03,1,2020-04-27
719,2020-05-04/2020-05-10,1,2020-05-04
719,2020-05-18/2020-05-24,1,2020-05-18
719,2020-06-01/2020-06-07,1,2020-06-01
719,2020-06-15/2020-06-21,1,2020-06-15
719,2020-06-22/2020-06-28,1,2020-06-22
719,2020-06-29/2020-07-05,1,2020-06-29
719,2020-08-03/2020-08-09,1,2020-08-03
719,2020-09-07/2020-09-13,1,2020-09-07
719,2020-09-14/2020-09-20,1,2020-09-14
719,2020-09-21/2020-09-27,1,2020-09-21
719,2020-10-05/2020-10-11,1,2020-10-05
719,2020-10-19/2020-10-25,1,2020-10-19
719,2020-10-26/2020-11-01,1,2020-10-26
719,2020-11-09/2020-11-15,1,2020-11-09
719,2020-11-16/2020-11-22,1,2020-11-16
719,2020-12-21/2020-12-27,2,2020-12-21
720,2019-10-14/2019-10-20,1,2019-10-14
720,2019-12-30/2020-01-05,1,2019-12-30
721,2019-03-25/2019-03-31,5,2019-03-25
721,2019-08-19/2019-08-25,5,2019-08-19
721,2020-01-06/2020-01-12,2,2020-01-06
721,2020-03-02/2020-03-08,2,2020-03-02
721,2020-04-20/2020-04-26,2,2020-04-20
721,2020-07-20/2020-07-26,2,2020-07-20
721,2020-08-31/2020-09-06,2,2020-08-31
721,2020-09-21/2020-09-27,2,2020-09-21
721,2020-10-19/2020-10-25,0,2020-10-19
722,2020-01-06/2020-01-12,1,2020-01-06
723,2019-11-25/2019-12-01,18,2019-11-25
723,2020-01-06/2020-01-12,1,2020-01-06
723,2020-07-20/2020-07-26,1,2020-07-20
724,2019-02-04/2019-02-10,6,2019-02-04
724,2019-11-25/2019-12-01,36,2019-11-25
724,2020-01-06/2020-01-12,3,2020-01-06
725,2020-01-13/2020-01-19,4,2020-01-13
726,2018-04-02/2018-04-08,4,2018-04-02
726,2019-11-11/2019-11-17,3,2019-11-11
726,2020-03-09/2020-03-15,4,2020-03-09
727,2020-03-09/2020-03-15,2,2020-03-09
728,2020-03-30/2020-04-05,2,2020-03-30
728,2020-09-28/2020-10-04,2,2020-09-28
729,2020-05-25/2020-05-31,1,2020-05-25
730,2020-06-08/2020-06-14,2,2020-06-08
731,2020-07-13/2020-07-19,1,2020-07-13
732,2020-09-21/2020-09-27,1,2020-09-21
733,2020-09-21/2020-09-27,3,2020-09-21
734,2020-09-28/2020-10-04,4,2020-09-28
735,2020-09-28/2020-10-04,4,2020-09-28
736,2020-11-09/2020-11-15,2,2020-11-09
737,2020-11-09/2020-11-15,2,2020-11-09
738,2020-03-23/2020-03-29,1,2020-03-23
739,2019-09-30/2019-10-06,2,2019-09-30
739,2020-11-09/2020-11-15,2,2020-11-09
740,2020-11-16/2020-11-22,0,2020-11-16
741,2020-11-16/2020-11-22,0,2020-11-16
742,2020-11-16/2020-11-22,0,2020-11-16
743,2020-11-16/2020-11-22,0,2020-11-16
744,2020-11-16/2020-11-22,0,2020-11-16
